NAME,SEX,SPEECH,DECLINATION,REFERENCE
Abdiasz,true,NOUN,M,
Abdiasza,true,NOUN,UNKNOWN,Abdiasz
Abdiaszem,true,NOUN,UNKNOWN,Abdiasz
Abdiaszowi,true,NOUN,UNKNOWN,Abdiasz
Abdiaszu,true,NOUN,UNKNOWN,Abdiasz
Abdon,true,NOUN,M,
Abdona,true,NOUN,UNKNOWN,Abdon
Abdonach,true,NOUN,UNKNOWN,Abdon
Abdonami,true,NOUN,UNKNOWN,Abdon
Abdonem,true,NOUN,UNKNOWN,Abdon
Abdonie,true,NOUN,UNKNOWN,Abdon
Abdonom,true,NOUN,UNKNOWN,Abdon
Abdonowi,true,NOUN,UNKNOWN,Abdon
Abdonowie,true,NOUN,UNKNOWN,Abdon
Abdonów,true,NOUN,UNKNOWN,Abdon
Abdony,true,NOUN,UNKNOWN,Abdon
Abel,true,NOUN,M,
Abla,true,NOUN,UNKNOWN,Abel
Ablach,true,NOUN,UNKNOWN,Abel
Ablami,true,NOUN,UNKNOWN,Abel
Able,true,NOUN,UNKNOWN,Abel
Ablem,true,NOUN,UNKNOWN,Abel
Ablom,true,NOUN,UNKNOWN,Abel
Ablowi,true,NOUN,UNKNOWN,Abel
Ablowie,true,NOUN,UNKNOWN,Abel
Ablów,true,NOUN,UNKNOWN,Abel
Ablu,true,NOUN,UNKNOWN,Abel
Abel,true,NOUN,M,
Abla,true,NOUN,UNKNOWN,Abel
Ablem,true,NOUN,UNKNOWN,Abel
Ablowi,true,NOUN,UNKNOWN,Abel
Ablu,true,NOUN,UNKNOWN,Abel
Abercjusz,true,NOUN,M,
Abercjusza,true,NOUN,UNKNOWN,Abercjusz
Abercjuszach,true,NOUN,UNKNOWN,Abercjusz
Abercjuszami,true,NOUN,UNKNOWN,Abercjusz
Abercjusze,true,NOUN,UNKNOWN,Abercjusz
Abercjuszem,true,NOUN,UNKNOWN,Abercjusz
Abercjuszom,true,NOUN,UNKNOWN,Abercjusz
Abercjuszowi,true,NOUN,UNKNOWN,Abercjusz
Abercjuszowie,true,NOUN,UNKNOWN,Abercjusz
Abercjuszów,true,NOUN,UNKNOWN,Abercjusz
Abercjuszu,true,NOUN,UNKNOWN,Abercjusz
Abigail,false,NOUN,M,
Abraham,true,NOUN,M,
Abrahama,true,NOUN,UNKNOWN,Abraham
Abrahamach,true,NOUN,UNKNOWN,Abraham
Abrahamami,true,NOUN,UNKNOWN,Abraham
Abrahamem,true,NOUN,UNKNOWN,Abraham
Abrahamie,true,NOUN,UNKNOWN,Abraham
Abrahamom,true,NOUN,UNKNOWN,Abraham
Abrahamowi,true,NOUN,UNKNOWN,Abraham
Abrahamowie,true,NOUN,UNKNOWN,Abraham
Abrahamów,true,NOUN,UNKNOWN,Abraham
Abrahamy,true,NOUN,UNKNOWN,Abraham
Abraham,true,NOUN,M,
Abrahama,true,NOUN,UNKNOWN,Abraham
Abrahamem,true,NOUN,UNKNOWN,Abraham
Abrahamie,true,NOUN,UNKNOWN,Abraham
Abrahamowi,true,NOUN,UNKNOWN,Abraham
Absalon,true,NOUN,M,
Absalona,true,NOUN,UNKNOWN,Absalon
Absalonach,true,NOUN,UNKNOWN,Absalon
Absalonami,true,NOUN,UNKNOWN,Absalon
Absalonem,true,NOUN,UNKNOWN,Absalon
Absaloni,true,NOUN,UNKNOWN,Absalon
Absalonie,true,NOUN,UNKNOWN,Absalon
Absalonom,true,NOUN,UNKNOWN,Absalon
Absalonowi,true,NOUN,UNKNOWN,Absalon
Absalonowie,true,NOUN,UNKNOWN,Absalon
Absalonów,true,NOUN,UNKNOWN,Absalon
Absalony,true,NOUN,UNKNOWN,Absalon
